ev_id,model_name,battery_pct,target_battery_pct,battery_capacity_kwh,arrival_time,departure_time,stay_duration_hours,energy_required_kwh,max_charging_power_kw,voltage_v,current_a,grid_load_pct,actual_duration_min
EV-SYNTH-1001,Tesla Model Y,54.0,85,75.0,15:28,12:24,1.79,23.25,120.0,411.1,291.9,61.0,18.6
EV-SYNTH-1002,Tesla Model Y,27.4,100,75.0,18:09,11:47,4.77,54.45,120.0,414.4,289.6,67.4,27.7
EV-SYNTH-1003,Tesla Model 3,49.5,100,60.0,12:00,08:29,2.03,30.3,100.0,412.2,242.6,84.6,19.7
EV-SYNTH-1004,Porsche Taycan,26.3,85,93.4,20:09,21:31,2.47,54.83,120.0,394.8,304.0,71.5,33.2
EV-SYNTH-1005,Porsche Taycan,46.9,80,93.4,20:47,17:59,5.11,30.92,60.0,404.6,148.3,40.7,37.6
EV-SYNTH-1006,Tesla Model 3,33.9,85,60.0,20:20,16:25,5.78,30.66,100.0,404.1,247.5,67.0,19.5
EV-SYNTH-1007,Hyundai Ioniq 5,47.0,80,77.4,16:34,21:08,3.21,25.54,50.0,401.7,124.5,78.8,36.2
EV-SYNTH-1008,Volkswagen ID.4,49.3,95,77.0,18:29,14:20,3.23,35.19,150.0,415.8,360.8,81.3,18.5
EV-SYNTH-1009,Volkswagen ID.4,48.6,80,77.0,16:13,22:20,4.41,24.18,50.0,416.9,119.9,47.6,27.9
EV-SYNTH-1010,Nissan Leaf,54.4,80,40.0,06:28,10:57,4.93,10.24,50.0,394.2,126.8,36.1,12.9
EV-SYNTH-1011,Kia EV6,32.4,95,77.4,19:23,17:46,3.71,48.45,150.0,418.3,358.6,77.5,21.8
EV-SYNTH-1012,Nissan Leaf,41.4,90,40.0,12:44,23:51,5.15,19.44,60.0,418.9,143.2,88.1,21.7
EV-SYNTH-1013,Tesla Model Y,56.6,85,75.0,15:16,16:46,3.03,21.3,120.0,408.2,294.0,75.1,16.7
EV-SYNTH-1014,Hyundai Ioniq 5,30.8,90,77.4,07:38,09:44,2.3,45.82,150.0,404.5,370.8,70.4,17.6
EV-SYNTH-1015,Nissan Leaf,32.8,85,40.0,15:27,08:25,5.65,20.88,22.0,418.0,52.6,70.1,60.5
EV-SYNTH-1016,Nissan Leaf,48.0,90,40.0,21:13,14:59,4.04,16.8,100.0,396.8,252.0,69.5,16.6
EV-SYNTH-1017,Volkswagen ID.4,49.8,100,77.0,08:04,07:15,2.8,38.65,22.0,398.8,55.2,36.8,119.8
EV-SYNTH-1018,Hyundai Ioniq 5,11.9,95,77.4,17:11,22:53,2.75,64.32,100.0,402.5,248.4,68.2,39.8
EV-SYNTH-1019,Hyundai Ioniq 5,47.5,90,77.4,14:07,23:54,4.4,32.9,100.0,414.3,241.4,56.2,20.6
EV-SYNTH-1020,Ford Mustang Mach-E,25.4,80,88.0,19:55,15:34,5.47,48.05,120.0,404.5,296.7,37.9,27.7
EV-SYNTH-1021,Hyundai Ioniq 5,49.8,95,77.4,11:58,07:32,2.02,34.98,100.0,400.5,249.7,30.6,25.7
EV-SYNTH-1022,Ford Mustang Mach-E,55.7,80,88.0,19:47,12:32,4.56,21.38,60.0,400.4,149.9,80.9,29.1
EV-SYNTH-1023,Porsche Taycan,25.6,95,93.4,20:04,21:51,2.29,64.82,150.0,390.2,384.4,53.0,25.2
EV-SYNTH-1024,Ford Mustang Mach-E,59.5,85,88.0,18:51,08:41,3.15,22.44,50.0,398.2,125.6,72.3,31.3
EV-SYNTH-1025,Nissan Leaf,19.4,80,40.0,16:37,08:11,4.56,24.24,150.0,397.9,377.0,80.3,12.1
EV-SYNTH-1026,Kia EV6,53.5,80,77.4,11:40,23:59,5.34,20.51,120.0,411.2,291.8,76.5,12.2
EV-SYNTH-1027,Volkswagen ID.4,17.7,95,77.0,20:14,18:49,5.1,59.52,50.0,391.5,127.7,57.9,74.5
EV-SYNTH-1028,Ford Mustang Mach-E,28.4,95,88.0,16:59,16:07,4.19,58.61,100.0,410.3,243.7,43.8,34.9
EV-SYNTH-1029,Ford Mustang Mach-E,48.3,90,88.0,14:11,18:28,1.63,36.7,22.0,409.6,53.7,69.7,110.1
